Ticker,Beta,Alpha,R_squared,Unsystematic_Risk_Var,P_value,Std_Error,N_observations
STB,1.3976107044973347,0.0007316173383815505,0.5003938872902871,0.0003226093441260585,2.8019180242482623e-190,0.03953090886338683,1250
MBB,1.3294993713615628,-0.000143508238859316,0.5270471913624695,0.0002623815759509857,3.791600205072356e-205,0.035650448382175265,1250
LPB,1.3027784914433982,0.0007813122252687549,0.36005137916400476,0.0004983851263933844,4.7600702633921217e-122,0.0493828379342572,1239
TCB,1.2854898029194697,-0.000247592460375422,0.3304482512970105,0.000553868569310081,7.634870091818786e-111,0.0517966519581565,1250
CTG,1.2780745477116864,0.00019157351774651683,0.49896329445185694,0.00027133266156440845,1.670929715306063e-189,0.03625345200104586,1250
VPB,1.2594536640644043,-0.00031101652666952993,0.3080806225962136,0.0005893106049672334,6.357180901952189e-102,0.05342818936421394,1250
BID,1.2504553243594372,-0.0004413490236252271,0.47802330947551175,0.00028244061823941367,2.1278206043523043e-178,0.036988089943407576,1250
VIB,1.1829477290212282,-0.00015481896422428931,0.319907470885721,0.0004923936659423384,7.549919331194987e-106,0.049000635499479694,1241
TPB,1.1068874385424428,-0.00043117935853891076,0.3073861214639716,0.00045703227011631843,1.430719194562097e-101,0.04705152450107314,1249
ACB,1.077123927707487,-0.00012241780335593526,0.37815331832056687,0.0003166819629752147,2.1847188224616028e-130,0.039177598575054345,1245
HDB,1.0622885604089087,-0.0002955370869598639,0.3134144422562327,0.00040925470558207487,6.084498017709631e-104,0.04452430071828514,1249
VCB,0.8108050981294918,-0.00017038021457018072,0.32641623338446357,0.0002244096677105324,3.254706446515877e-109,0.03297001233542259,1250
EIB,0.6032386401842751,-6.789267025888437e-05,0.1004934909123113,0.0005392345312365299,1.4841566985972384e-30,0.05110802685245958,1249
